,precision,recall,f1-score,support
0,0.9831469052945563,0.8217402144103715,0.8952264548108916,8022.0
1,0.03443619176232275,0.31097560975609756,0.06200607902735562,164.0
accuracy,0.8115074517468849,0.8115074517468849,0.8115074517468849,0.8115074517468849
macro avg,0.5087915485284396,0.5663579120832345,0.4786162669191236,8186.0
weighted avg,0.9641402406208102,0.8115074517468849,0.8785335472090715,8186.0
