,precision,recall,f1-score,support
0,0.9863571574017511,0.6038394415357766,0.749091471429676,8022.0
1,0.029618320610687022,0.5914634146341463,0.056411747601046815,164.0
accuracy,0.6035914976789641,0.6035914976789641,0.6035914976789641,0.6035914976789641
macro avg,0.5079877390062191,0.5976514280849614,0.40275160951536143,8186.0
weighted avg,0.9671896556629612,0.6035914976789641,0.7352141840233853,8186.0
