,precision,recall,f1-score,support
0,0.9799535509106466,0.9993767140363999,0.9895698327470221,8022.0
1,0.0,0.0,0.0,164.0
accuracy,0.9793549963352064,0.9793549963352064,0.9793549963352064,0.9793549963352064
macro avg,0.4899767754553233,0.49968835701819997,0.4947849163735111,8186.0
weighted avg,0.9603209608362091,0.9793549963352064,0.969744588113439,8186.0
