Model,AUC-ROC,AP,Recall,Precision,F1
Random Forest,0.6728193352427166,0.04290057511873722,0.07926829268292683,0.07647058823529412,0.07784431137724551
Voting Ensemble,0.6659715507962858,0.03991618177755138,0.2682926829268293,0.04334975369458128,0.07463952502120441
Stacking Ensemble,0.6642985600574032,0.039664639751475925,0.0,0.0,0.0
XGBoost,0.6533792740694797,0.03632126751473513,0.9085365853658537,0.022997376138292946,0.044859250338702396
Gradient Boosting,0.6500975214501584,0.03761351473491625,0.0,0.0,0.0
Logistic Regression,0.6332649999087874,0.04203602796883204,0.5670731707317073,0.02927289896128423,0.05567195450463933
